"ConstituencyCode","Constituency","Nominate","NominateAlias","Gender","Occupation","Politics","NominateDate","Remarks","Candidate"
"S19","ON HO","LAU Siu-hang","","M","LegCo Member Assistant","The Democratic Party","13/10/2015","","LAU SIU HANG"
"S20","WAI YING","MAK Mei-kuen Alice","","F","","HKFTU","5/10/2015","","MAK MEI KUEN ALICE"
"S21","TSING YI ESTATE","CHENG Hiu-ling","Elaine","F","Executive Director","","7/10/2015","","CHENG HIU LING"
"S21","TSING YI ESTATE","CHAN Siu-man Simon","","M","District Councilor","Independent Candidate","12/10/2015","","CHAN SIU MAN SIMON"
"S21","TSING YI ESTATE","YU Lap-on","","M","Manager-Landscape Services","*Non-affiliated Candidate","13/10/2015","","YU LAP ON"
"S21","TSING YI ESTATE","CHIU Chit-ue","Uny","F","Anchor","Independent","15/10/2015","","CHIU CHIT UE"
"S22","GREENFIELD","CHEUNG Wai-ching Clarice","","F","District Council Member","","2/10/2015","","CHEUNG WAI CHING CLARICE"
"S22","GREENFIELD","POON Siu-ping Nancy","","F","District Councillor","","15/10/2015","","POON SIU PING NANCY"
"S23","CHEUNG CHING","LEE Chi-keung Alan","","M","District Councilor","*BPA","2/10/2015","","LEE CHI KEUNG ALAN"
"S23","CHEUNG CHING","WONG Kwong-mo","","M","","Democratic Party","2/10/2015","","WONG KWONG MO"
"S24","CHEUNG HONG","TSUI Hiu-kit","","M","District Councilor","New People's Party","5/10/2015","","TSUI HIU KIT"
"S25","SHING HONG","LEUNG Wai-man","","M","","DAB","3/10/2015","","LEUNG WAI MAN"
"S25","SHING HONG","Fu Moon-fong Ferdinand","","M","Tutor","","15/10/2015","","FU MOON FONG FERDINAND"
"S26","TSING YI SOUTH","POON Chi-shing","","M","District Council Member","DAB","8/10/2015","","POON CHI SHING"
"S26","TSING YI SOUTH","IP Yam-shek Johnathan","","M","IT Consultant","Young Spiration","9/10/2015","","IP YAM SHEK JOHNATHAN"
"S27","CHEUNG HANG","LAM Lap-chi","","M","Full Time District Councilor","The Democratic Party","2/10/2015","","LAM LAP CHI"
"S27","CHEUNG HANG","HA Lung-wan","","M","","","2/10/2015","","HA LUNG WAN"
"S27","CHEUNG HANG","LO Yuen-ting","","F","Community Officer","DAB","8/10/2015","","LO YUEN TING"
"S27","CHEUNG HANG","LUI Ko-wai","","M","Car Dealer Consultant","Independent","14/10/2015","","LUI KO WAI"
"S28","CHING FAT","LEE Hon-sam","","M","Web Developer","Ching Fat Living Concern","2/10/2015","","LEE HON SAM"
"S28","CHING FAT","LAM Chui-ling Nancy","","F","Principal","Independent","8/10/2015","","LAM CHUI LING NANCY"
"S28","CHING FAT","LAU Chi-kit","","M","LegCo Member Assistant","The Democratic Party","12/10/2015","","LAU CHI KIT"
"S28","CHING FAT","WONG Kin-long","","M","Radiographer","","14/10/2015","","WONG KIN LONG"
"S29","CHEUNG ON","LAW King-shing","","M","","DAB","2/10/2015","","LAW KING SHING"
"S29","CHEUNG ON","HO Chi-wai","","M","Secondary School Teacher","The Democratic Party","2/10/2015","","HO CHI WAI"
"S29","CHEUNG ON","WONG Chun-kit","","M","Financial Consultant","Youngspiration","13/10/2015","","WONG CHUN KIT"
"T01","LANTAU","YU Hon-kwan","Randy","M","*Company Executive","","5/10/2015","","YU HON KWAN"
"T01","LANTAU","YUEN Yuk-wah","","M","Businessman","","12/10/2015","","YUEN YUK WAH"
"T01","LANTAU","LAU King-cheung","","M","Self-employed Person","","14/10/2015","","LAU KING CHEUNG"
"T01","LANTAU","TAM Sau-ngor","","F","Community Coordinator","","15/10/2015","","TAM SAU NGOR"
"T02","YAT TUNG ESTATE NORTH","TANG Ka-piu","","M","Member of Legislative Council and District Council","F.T.U","7/10/2015","","TANG KA PIU"
"T02","YAT TUNG ESTATE NORTH","LEUNG Hon-wai","Jimmy","M","Performing Arts Worker","","15/10/2015","","LEUNG HON WAI"
"T03","YAT TUNG ESTATE SOUTH","LO Kwong-shing Andy","","M","*District Councillor","DAB","2/10/2015","","LO KWONG SHING ANDY"
"T03","YAT TUNG ESTATE SOUTH","KWOK Ping","","M","Community Officer","Democratic Party","5/10/2015","","KWOK PING"
"T04","TUNG CHUNG NORTH","YU Chun-cheung Peter","","M","Barrister-at-law","Civic Party","2/10/2015","","YU CHUN CHEUNG PETER"
"T04","TUNG CHUNG NORTH","FU Hiu-lam Sammi","","F","Accountant","New People's Party","5/10/2015","","FU HIU LAM SAMMI"
"T05","TUNG CHUNG SOUTH","CHOW Ho-ding Holden","","M","Solicitor","DAB","2/10/2015","","CHOW HO DING HOLDEN"
"T05","TUNG CHUNG SOUTH","WONG Chun-yeung","","M","*Development Officer","","9/10/2015","","WONG CHUN YEUNG"
"T06","DISCOVERY BAY","CHIU Tak-wai","Francis","M","Private Investor","","2/10/2015","","CHIU TAK WAI"
"T06","DISCOVERY BAY","YUNG Wing-sheung Amy","Amy Yung","F","Certified Public Accountant","Civic Party","12/10/2015","","YUNG WING SHEUNG AMY"
"T06","DISCOVERY BAY","HU Ziliang","Jimmy","M","App Development","","15/10/2015","","HU ZILIANG"
"T07","PENG CHAU & HEI LING CHAU","TSANG Sau-ho Josephine","","F","Security Consultant","","12/10/2015","","TSANG SAU HO JOSEPHINE"
"T08","LAMMA & PO TOI","YU Lai-fan","","F","Full-time District Council Member","DAB","7/10/2015","","YU LAI FAN"
"T08","LAMMA & PO TOI","GOHEL Rajen Indulal","","M","","","12/10/2015","","GOHEL RAJEN INDULAL"
"T08","LAMMA & PO TOI","CHENG Chi-wah","","M","Project Manager","","14/10/2015","","CHENG CHI WAH"
"T09","CHEUNG CHAU SOUTH","KWONG Koon-wan","","M","Director","BPA","5/10/2015","","KWONG KOON WAN"
"T09","CHEUNG CHAU SOUTH","LEUNG Kwok-ho","","M","","","14/10/2015","","LEUNG KWOK HO"
"T09","CHEUNG CHAU SOUTH","LAM Kit-sing","","M","Director","","14/10/2015","","LAM KIT SING"
"T10","CHEUNG CHAU NORTH","LEE Kwai-chun","","F","","DAB","2/10/2015","","LEE KWAI CHUN"
"T10","CHEUNG CHAU NORTH","KWONG Wai-kuen","","F","","","13/10/2015","","KWONG WAI KUEN"
